# File generated by Melissa L. Graham. 
# 
# Each row represents photo-z results from a different LSST survey simulation. 
# In this file, the photo-z results are the robust standard deviation in redshift bins. 
# 
# The first four simulated surveys give more/less time to u-band (Graham et al. 2018). 
# The second four simulated surveys give more/less time to y-band (Graham et al. 2018). 
# The third four surveys are for years 1, 2, 5, and 10 of the LSST (Graham et al. 2018). 
# 
# Columns 1 to 6: survey simulation 5-sigma limiting magnitude in ugrizy 
# Columns 7 to 15: robust standard deviation in bins of photometric redshift. 
# 
# z_bin_centers = [0.45,0.75,1.05,1.35,1.65,1.95,2.25,2.55,2.85] 
# z_bin_full_width = 0.30 
# z_bin_half_width = 0.15 
# 
   nan 27.45 27.57 26.87 26.09 24.89  0.0210  0.0131  0.0145  0.0234  0.0416  0.0517  0.0294  0.0445  0.0606
 25.67 27.42 27.55 26.85 26.08 24.88  0.0178  0.0131  0.0145  0.0215  0.0277  0.0278  0.0257  0.0330  0.0408
 26.09 27.38 27.53 26.83 26.06 24.86  0.0162  0.0132  0.0139  0.0212  0.0249  0.0268  0.0242  0.0303  0.0340
 26.38 27.32 27.51 26.81 26.03 24.83  0.0173  0.0132  0.0141  0.0217  0.0259  0.0244  0.0240  0.0321  0.0327
 26.32 27.56 27.62 26.92 26.15   nan  0.0173  0.0130  0.0176  0.0307  0.0268  0.0257  0.0250  0.0293  0.0357
 26.22 27.48 27.58 26.88 26.11 24.48  0.0171  0.0129  0.0148  0.0233  0.0267  0.0261  0.0252  0.0292  0.0344
 26.09 27.38 27.53 26.83 26.06 24.86  0.0162  0.0132  0.0139  0.0212  0.0249  0.0268  0.0242  0.0303  0.0336
 25.90 27.26 27.48 26.78 26.00 25.08  0.0183  0.0136  0.0147  0.0224  0.0260  0.0264  0.0231  0.0304  0.0348
 24.84 26.13 26.28 25.58 24.81 23.61  0.0377  0.0454  0.0353  0.0648  0.0948  0.1091  0.1700  0.2774  0.4161
 25.21 26.51 26.66 25.96 25.18 23.98  0.0290  0.0254  0.0298  0.0421  0.0668  0.0971  0.0806  0.2816  0.4428
 25.71 27.00 27.15 26.45 25.68 24.48  0.0225  0.0167  0.0188  0.0280  0.0381  0.0542  0.0376  0.1243  0.4702
 26.09 27.38 27.53 26.83 26.06 24.86  0.0163  0.0132  0.0139  0.0212  0.0249  0.0268  0.0243  0.0303  0.0339
